,Product_ID,Article,Total Quantity,Total Sales,unit_price,First_Sale,Recent_Sale,Days_in_Market,Unique_purchase_dates,Per_day_Sale,Popularity_Score,Relevance_Score,Product_Cluster
56,P0056,GAL FRANGIPANE 4P,215,1720,8,02-01-2021,28-01-2022,392,45,38.22,0.114795918,0.009002525,0
57,P0057,NANTAIS,599,1587.5,2.5,05-01-2021,23-12-2021,353,161,9.86,0.456090652,0.017669984,0
58,P0058,GAL FRANGIPANE 6P,128,1536,12,02-01-2021,28-01-2022,392,39,39.38,0.099489796,0.007802188,0
59,P0059,ROYAL 6P,68,1290,18,23-02-2021,30-09-2022,585,50,25.8,0.085470085,0.085470085,0
60,P0060,GD FAR BRETON,177,1278.5,0,05-03-2021,27-09-2022,572,79,16.18,0.138111888,0.107964324,0
61,P0061,PLAT 8.30E,148,1228.4,8.3,06-03-2022,30-09-2022,209,71,17.3,0.339712919,0.339712919,0
62,P0062,GD NANTAIS,109,1209,11,31-07-2021,11-07-2022,346,58,20.84,0.167630058,0.041342216,0
63,P0063,TROPEZIENNE,508,1050.5,2,18-03-2021,21-09-2022,553,209,5.03,0.377938517,0.24018121,0
64,P0064,ROYAL 4P,78,984,12,24-01-2021,09-09-2022,594,45,21.87,0.075757576,0.03910302,0
65,P0065,SAVARIN,467,968.9,2,22-01-2021,11-09-2022,598,149,6.5,0.24916388,0.132448048,0
66,P0066,ROYAL,293,961,3,21-03-2021,25-09-2022,554,71,13.54,0.128158845,0.091819079,0
67,P0067,NOIX JAPONAISE,447,925.9,2,31-01-2021,26-09-2022,604,175,5.29,0.289735099,0.216933535,0
68,P0068,BOULE POLKA,535,887.6,1.6,02-01-2021,30-09-2022,637,397,2.24,0.623233909,0.623233909,1
69,P0069,DIVERS BOULANGERIE,327,849.45,2,04-01-2021,30-09-2022,635,173,4.91,0.272440945,0.272440945,0
70,P0070,DIVERS SANDWICHS,241,838.67,2.5,04-01-2021,16-07-2022,559,86,9.75,0.153846154,0.048238626,0
71,P0071,PLAT 7.00,114,798,7,01-03-2022,22-09-2022,206,65,12.28,0.315533981,0.185525434,0
72,P0072,FONDANT CHOCOLAT,318,795,2.5,07-01-2021,23-08-2021,229,131,6.07,0.572052402,0,0
73,P0073,GAL POMME 4P,99,792,8,02-01-2021,28-01-2022,392,35,22.63,0.089285714,0.007001964,0
74,P0074,GAL POMME 6P,62,744,12,02-01-2021,23-01-2022,387,24,31,0.062015504,0.004531283,0
75,P0075,12 MACARON,70,700,10,13-07-2022,28-09-2022,78,42,16.67,0.538461538,0.403075906,0
76,P0076,GACHE,131,655,5,02-01-2021,25-07-2021,205,91,7.2,0.443902439,0,0
77,P0077,CHOU CHANTILLY,271,547.9,2,23-01-2021,11-09-2022,597,107,5.12,0.179229481,0.095251078,0
78,P0078,DEMI BAGUETTE,1147,539.45,0.45,02-01-2021,28-09-2022,635,490,1.1,0.771653543,0.640325582,1
79,P0079,TARTE FINE,67,469,7,26-11-2021,24-07-2022,241,36,13.03,0.149377593,0.034149352,0
80,P0080,MACARON,453,453,1,11-07-2022,29-09-2022,81,59,7.68,0.728395062,0.613823437,1
81,P0081,PALET BRETON,277,389.1,1.5,18-04-2022,28-09-2022,164,79,4.93,0.481707317,0.378061561,1
82,P0082,FRAMBOISIER,107,369,3,24-12-2021,26-09-2022,277,33,11.18,0.119133574,0.085062679,0
83,P0083,BAGUETTE APERO,76,342,4.5,22-01-2021,01-07-2022,526,60,5.7,0.114068441,0.031767999,0
84,P0084,ST HONORE,110,335.5,3,12-07-2021,29-08-2022,414,53,6.33,0.128019324,0.053765864,0
85,P0085,SUCETTE,1061,318.3,0.3,03-01-2021,30-09-2022,636,307,1.04,0.482704403,0.482704403,1
86,P0086,RELIGIEUSE,119,297.5,2.5,12-07-2021,20-09-2021,71,42,7.08,0.591549296,0,0
87,P0087,CARAMEL NOIX,100,240,2.4,02-07-2022,30-09-2022,91,47,5.11,0.516483516,0.516483516,1
88,P0088,VIENNOISE,218,239.8,1.1,07-07-2021,05-09-2021,61,50,4.8,0.819672131,0,0
89,P0089,PAIN S/SEL,152,231.3,1.5,07-01-2021,18-08-2022,589,116,1.99,0.196943973,0.080132213,0
90,P0090,SABLE F  P,130,208,1.6,25-07-2022,30-09-2022,68,40,5.2,0.588235294,0.588235294,1
91,P0091,TRIANGLES,83,207.5,2.5,11-03-2021,07-03-2022,362,30,6.92,0.082872928,0.007829294,0
92,P0092,GRANDE SUCETTE,344,206.4,0.6,16-01-2021,17-09-2022,610,161,1.28,0.263934426,0.155356475,0
93,P0093,PAILLE,135,202.5,1.5,25-02-2022,29-05-2022,94,59,3.43,0.627659574,0,0
94,P0094,DIVERS BOISSONS,88,201.5,2,29-05-2021,22-09-2022,482,62,3.25,0.128630705,0.08289773,0
95,P0095,SACHET DE CROUTON,125,200,1.6,14-01-2021,22-08-2022,586,80,2.5,0.136518771,0.057522798,0
96,P0096,GAL POIRE CHOCO 4P,24,192,8,09-01-2021,30-01-2022,387,12,16,0.031007752,0.002412772,0
97,P0097,DELICETROPICAL,61,183,3,20-07-2021,20-09-2021,63,19,9.63,0.301587302,0,0
98,P0098,GAL POIRE CHOCO 6P,15,180,12,09-01-2021,29-01-2022,386,10,18,0.025906736,0.001987722,0
99,P0099,TARTELETTE CHOC,62,155,2.5,04-04-2021,28-05-2022,420,31,5,0.073809524,0.01473533,0
100,P0100,CHOCOLAT,82,123,1.5,07-01-2021,29-07-2022,569,64,1.92,0.112478032,0.038760763,0
101,P0101,"PLATPREPARE7,00",17,119,7,12-07-2021,06-11-2021,118,5,23.8,0.042372881,0,0
102,P0102,BROWNIES,47,117.5,2.5,12-07-2021,23-06-2022,347,28,4.2,0.080691643,0.017194396,0
103,P0103,DEMI PAIN,163,105.05,0.6,19-01-2021,25-09-2022,615,131,0.8,0.21300813,0.153589687,0
104,P0104,FORMULE PLAT PREPARE,11,88,8,12-07-2021,05-11-2021,117,4,22,0.034188034,0,0
105,P0105,REDUCTION SUCREES 12,8,80,10,31-12-2021,05-06-2022,157,2,40,0.012738854,0.000734525,0
106,P0106,PAIN DE MIE,40,80,2,05-04-2021,20-01-2022,291,14,5.71,0.048109966,0.001181568,0
107,P0107,BRIOCHETTE,86,70.2,0.8,21-02-2021,17-04-2022,421,27,2.6,0.064133017,0.009834904,0
108,P0108,TROPEZIENNE FRAMBOISE,33,69.7,2.1,18-03-2021,03-07-2022,473,18,3.87,0.038054968,0.010261696,0
109,P0109,MERINGUE,65,65,1,08-02-2022,06-06-2022,119,35,1.86,0.294117647,0.001555389,0
110,P0110,ECLAIR FRAISE PISTACHE,22,48.5,2.1,28-02-2021,22-07-2022,510,13,3.73,0.025490196,0.008067151,0
111,P0111,"PLATPREPARE6,50",8,45.5,0,12-07-2021,05-11-2021,117,3,15.17,0.025641026,0,0
112,P0112,PLAT,9,41.4,4.9,03-03-2022,23-08-2022,174,8,5.18,0.045977011,0.013363924,0
113,P0113,PAIN SUISSE PEPITO,21,33.6,1.6,06-08-2022,25-09-2022,51,7,4.8,0.137254902,0.075014304,0
114,P0114,CRUMBLE,9,26,2,02-05-2021,22-02-2022,297,5,5.2,0.016835017,0.000883346,0
115,P0115,FINANCIER,22,15.4,0.7,11-05-2021,28-07-2022,444,15,1.03,0.033783784,0.010657369,0
116,P0116,FORMULE PATE,2,13,6.5,23-03-2022,12-07-2022,112,2,6.5,0.017857143,0.001257636,0
117,P0117,GUERANDAIS,3,10.5,3.5,26-03-2022,03-07-2022,100,2,5.25,0.02,0.000499709,0
118,P0118,THE,7,10.5,1.5,06-02-2021,21-11-2021,289,6,1.75,0.020761246,0,0
119,P0119,PATES,2,9,4.5,04-01-2021,13-07-2021,191,2,4.5,0.010471204,0,0
120,P0120,PAIN GRAINES,3,6.1,2,10-07-2021,15-07-2022,371,3,2.03,0.008086253,0.00213422,0
